rating,series_id,index_bank
9.0,0,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
9.0,1,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
9.0,2,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
9.0,3,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
9.0,4,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,5,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,6,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,7,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,8,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,9,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,10,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,11,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,12,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
10.0,13,"""Азиатско-Тихоокеанский Банк"" (ПАО)"
9.0,14,"""Банк ""МБА-МОСКВА"" ООО"
9.0,15,"""Банк ""МБА-МОСКВА"" ООО"
9.0,16,"""Банк ""МБА-МОСКВА"" ООО"
9.0,17,"""Банк ""МБА-МОСКВА"" ООО"
9.0,18,"""Банк ""МБА-МОСКВА"" ООО"
9.0,19,"""Банк ""МБА-МОСКВА"" ООО"
10.0,20,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,21,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,22,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,23,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,24,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,25,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,26,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,27,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,28,"АКБ ""Абсолют Банк"" (ПАО)"
10.0,29,"АКБ ""Абсолют Банк"" (ПАО)"
11.0,30,"АКБ ""Абсолют Банк"" (ПАО)"
11.0,31,"АКБ ""Абсолют Банк"" (ПАО)"
11.0,32,"АКБ ""Абсолют Банк"" (ПАО)"
11.0,33,"АКБ ""Абсолют Банк"" (ПАО)"
9.0,34,"АКБ ""Держава"" ПАО"
9.0,35,"АКБ ""Держава"" ПАО"
9.0,36,"АКБ ""Держава"" ПАО"
9.0,37,"АКБ ""Держава"" ПАО"
9.0,38,"АКБ ""Держава"" ПАО"
9.0,39,"АКБ ""Держава"" ПАО"
9.0,40,"АКБ ""Держава"" ПАО"
9.0,41,"АКБ ""Держава"" ПАО"
7.0,42,"АКБ ""Ланта-Банк"" (АО)"
7.0,43,"АКБ ""Ланта-Банк"" (АО)"
7.0,44,"АКБ ""Ланта-Банк"" (АО)"
7.0,45,"АКБ ""Ланта-Банк"" (АО)"
7.0,46,"АКБ ""Ланта-Банк"" (АО)"
7.0,47,"АКБ ""Ланта-Банк"" (АО)"
7.0,48,"АКБ ""Ланта-Банк"" (АО)"
7.0,49,"АКБ ""Ланта-Банк"" (АО)"
7.0,50,"АКБ ""Ланта-Банк"" (АО)"
7.0,51,"АКБ ""Ланта-Банк"" (АО)"
7.0,52,"АКБ ""Ланта-Банк"" (АО)"
7.0,53,"АКБ ""Ланта-Банк"" (АО)"
7.0,54,"АКБ ""Ланта-Банк"" (АО)"
8.0,55,"АКБ ""НРБанк"" (АО)"
8.0,56,"АКБ ""НРБанк"" (АО)"
8.0,57,"АКБ ""НРБанк"" (АО)"
8.0,58,"АКБ ""НРБанк"" (АО)"
8.0,59,"АКБ ""НРБанк"" (АО)"
8.0,60,"АКБ ""НРБанк"" (АО)"
8.0,61,"АКБ ""НРБанк"" (АО)"
8.0,62,"АКБ ""НРБанк"" (АО)"
8.0,63,"АКБ ""НРБанк"" (АО)"
8.0,64,"АКБ ""НРБанк"" (АО)"
8.0,65,"АКБ ""НРБанк"" (АО)"
8.0,66,"АКБ ""НРБанк"" (АО)"
8.0,67,"АКБ ""НРБанк"" (АО)"
8.0,68,"АКБ ""НРБанк"" (АО)"
13.0,69,"АО ""АЛЬФА-БАНК"""
13.0,70,"АО ""АЛЬФА-БАНК"""
13.0,71,"АО ""АЛЬФА-БАНК"""
13.0,72,"АО ""АЛЬФА-БАНК"""
13.0,73,"АО ""АЛЬФА-БАНК"""
13.0,74,"АО ""АЛЬФА-БАНК"""
13.0,75,"АО ""АЛЬФА-БАНК"""
13.0,76,"АО ""АЛЬФА-БАНК"""
13.0,77,"АО ""АЛЬФА-БАНК"""
13.0,78,"АО ""АЛЬФА-БАНК"""
13.0,79,"АО ""АЛЬФА-БАНК"""
13.0,80,"АО ""АЛЬФА-БАНК"""
13.0,81,"АО ""АЛЬФА-БАНК"""
11.0,82,"АО ""БКС Банк"""
11.0,83,"АО ""БКС Банк"""
11.0,84,"АО ""БКС Банк"""
11.0,85,"АО ""БКС Банк"""
11.0,86,"АО ""БКС Банк"""
11.0,87,"АО ""БКС Банк"""
11.0,88,"АО ""БКС Банк"""
11.0,89,"АО ""БКС Банк"""
11.0,90,"АО ""БКС Банк"""
11.0,91,"АО ""БКС Банк"""
11.0,92,"АО ""БКС Банк"""
11.0,93,"АО ""БКС Банк"""
11.0,94,"АО ""БКС Банк"""
11.0,95,"АО ""БКС Банк"""
7.0,96,"АО ""БайкалИнвестБанк"""
7.0,97,"АО ""БайкалИнвестБанк"""
7.0,98,"АО ""БайкалИнвестБанк"""
7.0,99,"АО ""БайкалИнвестБанк"""
7.0,100,"АО ""БайкалИнвестБанк"""
7.0,101,"АО ""БайкалИнвестБанк"""
7.0,102,"АО ""БайкалИнвестБанк"""
